PlanetWatch,5,John M. Keynesplein 12-46,https://images.prismic.io/algorandfoundationv2/f94a2458-4507-4ebb-8fa8-bb56c73ba3b4_PlanetWatch_logo_new.png?auto=compress%2Cformat
Global Carbon Holding,5,Provencialeweg 11,https://images.prismic.io/algorandfoundationv2/ff1af8b9-9a3c-4424-b1a2-4aed87298281_Global-Carbon-Holding-Logo.png?auto=compress%2Cformat
Gaiachain,5,Tweede Weteringplantsoen 21,https://images.prismic.io/algorandfoundationv2/85dc81d3-a46b-4815-93b4-a1a6674bcbf2_f682cfae-c27f-4a2d-9f68-e9666851179d_logo-web%2B%281%29.jpg?auto=compress%2Cformat
Plandail,6,Brouwerijstraat 2,https://images.prismic.io/algorandfoundationv2/a3a584e1-3f03-414d-b4d9-4c056fd5ddd4_PlanDail_Logo-01.webp?auto=compress%2Cformat
Algo Optimizer,11,Zijlstraat 6,https://algooptimizer.com/img/Logo.5926cb11.svg
Algo Explorer, 1, Street 1,https://miro.medium.com/max/1400/0*nEMNUsZdOXrGdE-g.png
BitQuery, 1, Street 1,https://bitquery.io/wp-content/uploads/2020/09/bitquery_logo_w.png
AlgoSigner, 1, Street 1,https://algorand-developer-portal.tryprism.com/static/Posts/2020/09/29%2021:00/AlgoSigner_Email_Header.png?w=2220&cmd=resize_then_crop&height=1018&quality=70
AlgoDesk, 1, Street 1,https://algodesk.io/assets/images/image03.png?v=99dbc1a2
Java SDK developer Jack, 1, Street 1,https://www.couchbase.com/binaries/content/gallery/website/logos/java-seeklogo.com-converted.svg
Python SDK developer Jill, 1, Street 1,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Python-logo-notext.svg/1280px-Python-logo-notext.svg.png
Go SDK developer Jack, 1, Street 1,https://seeklogo.com/images/G/go-logo-046185B647-seeklogo.com.png
JS SDK developer Jill, 1, Street 1,https://upload.wikimedia.org/wikipedia/commons/3/3b/Javascript_Logo.png
Rust SDK developer Jill, 1, Street 1,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Rust_programming_language_black_logo.svg/216px-Rust_programming_language_black_logo.svg.png
Developer Tutorials Joe, 1, Street 1,https://algorandfoundationv2.cdn.prismic.io/algorandfoundationv2/967a6cf5-c900-4a15-bc96-1da2a096c4d1_forward-thinking_teal.svg